getter	page_var	logical_name	spec_alias	canonical_guess	page_id	pages_in_chain	total_record_slots	has_data	note	refs_catalog_cpp	refs_catalog_h	refs_executor_cpp	first_refs
trustAnchorRolloverTablePage	trust_anchor_rollover_table_page_	trust_anchor_rollover			127	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10839,src/core/catalog_manager.cpp:10841,src/core/catalog_manager.cpp:10842,src/core/catalog_manager.cpp:12688,src/core/catalog_manager.cpp:19742,src/core/catalog_manager.cpp:20068
encryptionProfileTablePage	encryption_profile_table_page_	encryption_profile			128	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10845,src/core/catalog_manager.cpp:10847,src/core/catalog_manager.cpp:10848,src/core/catalog_manager.cpp:12693,src/core/catalog_manager.cpp:19743,src/core/catalog_manager.cpp:20069
encryptionKeyTablePage	encryption_key_table_page_	encryption_key			129	1	0	no	ok	18	2	0	src/core/catalog_manager.cpp:10851,src/core/catalog_manager.cpp:10853,src/core/catalog_manager.cpp:10854,src/core/catalog_manager.cpp:12698,src/core/catalog_manager.cpp:19744,src/core/catalog_manager.cpp:20070
encryptionKeyShardTablePage	encryption_key_shard_table_page_	encryption_key_shard			130	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10857,src/core/catalog_manager.cpp:10859,src/core/catalog_manager.cpp:10860,src/core/catalog_manager.cpp:12703,src/core/catalog_manager.cpp:19745,src/core/catalog_manager.cpp:20071
encryptionBootstrapInfoTablePage	encryption_bootstrap_info_table_page_	encryption_bootstrap_info			131	1	0	no	ok	11	2	0	src/core/catalog_manager.cpp:10863,src/core/catalog_manager.cpp:10865,src/core/catalog_manager.cpp:10866,src/core/catalog_manager.cpp:12709,src/core/catalog_manager.cpp:19746,src/core/catalog_manager.cpp:20072
nodeTablePage	node_table_page_	node			132	1	0	no	ok	27	2	0	src/core/catalog_manager.cpp:10870,src/core/catalog_manager.cpp:10872,src/core/catalog_manager.cpp:10873,src/core/catalog_manager.cpp:12714,src/core/catalog_manager.cpp:19747,src/core/catalog_manager.cpp:20073
nodeRoleBindingTablePage	node_role_binding_table_page_	node_role_binding			133	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10876,src/core/catalog_manager.cpp:10878,src/core/catalog_manager.cpp:10879,src/core/catalog_manager.cpp:12719,src/core/catalog_manager.cpp:19748,src/core/catalog_manager.cpp:20074
nodeServiceTablePage	node_service_table_page_	node_service			134	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10882,src/core/catalog_manager.cpp:10884,src/core/catalog_manager.cpp:10885,src/core/catalog_manager.cpp:12724,src/core/catalog_manager.cpp:19749,src/core/catalog_manager.cpp:20075
nodeCapabilityTablePage	node_capability_table_page_	node_capability			135	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10888,src/core/catalog_manager.cpp:10890,src/core/catalog_manager.cpp:10891,src/core/catalog_manager.cpp:12729,src/core/catalog_manager.cpp:19750,src/core/catalog_manager.cpp:20076
clockPolicyTablePage	clock_policy_table_page_	clock_policy			136	1	0	no	ok	16	2	0	src/core/catalog_manager.cpp:10894,src/core/catalog_manager.cpp:10896,src/core/catalog_manager.cpp:10897,src/core/catalog_manager.cpp:12734,src/core/catalog_manager.cpp:19751,src/core/catalog_manager.cpp:20077
clockSourceTablePage	clock_source_table_page_	clock_source			137	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10900,src/core/catalog_manager.cpp:10902,src/core/catalog_manager.cpp:10903,src/core/catalog_manager.cpp:12739,src/core/catalog_manager.cpp:19752,src/core/catalog_manager.cpp:20078
nodeClockStateTablePage	node_clock_state_table_page_	node_clock_state			138	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10906,src/core/catalog_manager.cpp:10908,src/core/catalog_manager.cpp:10909,src/core/catalog_manager.cpp:12744,src/core/catalog_manager.cpp:19753,src/core/catalog_manager.cpp:20079
clockViolationEventTablePage	clock_violation_event_table_page_	clock_violation_event			139	1	0	no	ok	11	2	0	src/core/catalog_manager.cpp:10912,src/core/catalog_manager.cpp:10914,src/core/catalog_manager.cpp:10915,src/core/catalog_manager.cpp:12749,src/core/catalog_manager.cpp:19754,src/core/catalog_manager.cpp:20080
clusterTablePage	cluster_table_page_	cluster			140	1	0	no	ok	17	2	0	src/core/catalog_manager.cpp:10919,src/core/catalog_manager.cpp:10921,src/core/catalog_manager.cpp:10922,src/core/catalog_manager.cpp:12754,src/core/catalog_manager.cpp:19755,src/core/catalog_manager.cpp:20081
shardPolicyTablePage	shard_policy_table_page_	shard_policy			141	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10925,src/core/catalog_manager.cpp:10927,src/core/catalog_manager.cpp:10928,src/core/catalog_manager.cpp:12759,src/core/catalog_manager.cpp:19756,src/core/catalog_manager.cpp:20082
shardPolicyParamTablePage	shard_policy_param_table_page_	shard_policy_param			142	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10931,src/core/catalog_manager.cpp:10933,src/core/catalog_manager.cpp:10934,src/core/catalog_manager.cpp:12764,src/core/catalog_manager.cpp:19757,src/core/catalog_manager.cpp:20083
shardKeyTablePage	shard_key_table_page_	shard_key			143	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10937,src/core/catalog_manager.cpp:10939,src/core/catalog_manager.cpp:10940,src/core/catalog_manager.cpp:12769,src/core/catalog_manager.cpp:19758,src/core/catalog_manager.cpp:20084
shardTablePage	shard_table_page_	shard			144	1	0	no	ok	18	2	0	src/core/catalog_manager.cpp:10943,src/core/catalog_manager.cpp:10945,src/core/catalog_manager.cpp:10946,src/core/catalog_manager.cpp:12774,src/core/catalog_manager.cpp:19759,src/core/catalog_manager.cpp:20085
shardScopeTablePage	shard_scope_table_page_	shard_scope			145	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10949,src/core/catalog_manager.cpp:10951,src/core/catalog_manager.cpp:10952,src/core/catalog_manager.cpp:12779,src/core/catalog_manager.cpp:19760,src/core/catalog_manager.cpp:20086
